Run;MethodName;Duration(ms)
62;DeleteParentWithChildren;20.9069
63;InsertParentWithChildren;20.4826
63;GetParentsWithChildren;1.9112
63;UpdateParentWithChildren;19.0476
63;DeleteParentWithChildren;20.7972
64;InsertParentWithChildren;20.5193
64;GetParentsWithChildren;1.7322
64;UpdateParentWithChildren;9.4571
64;DeleteParentWithChildren;21.4021
65;InsertParentWithChildren;20.2330
65;GetParentsWithChildren;1.8116
65;UpdateParentWithChildren;18.2917
65;DeleteParentWithChildren;9.8922
66;InsertParentWithChildren;20.4414
66;GetParentsWithChildren;1.6906
66;UpdateParentWithChildren;19.3902
66;DeleteParentWithChildren;21.1005
67;InsertParentWithChildren;20.7517
67;GetParentsWithChildren;1.7997
67;UpdateParentWithChildren;9.0766
67;DeleteParentWithChildren;22.8845
68;InsertParentWithChildren;21.6553
68;GetParentsWithChildren;1.7096
68;UpdateParentWithChildren;19.1415
68;DeleteParentWithChildren;21.4007
69;InsertParentWithChildren;20.5452
69;GetParentsWithChildren;1.8947
69;UpdateParentWithChildren;10.2079
69;DeleteParentWithChildren;19.8708
70;InsertParentWithChildren;20.4355
70;GetParentsWithChildren;2.0779
70;UpdateParentWithChildren;18.7508
70;DeleteParentWithChildren;20.4810
71;InsertParentWithChildren;21.6929
71;GetParentsWithChildren;1.7843
71;UpdateParentWithChildren;18.9798
71;DeleteParentWithChildren;38.6796
72;InsertParentWithChildren;8.7843
72;GetParentsWithChildren;1.7717
72;UpdateParentWithChildren;20.3221
72;DeleteParentWithChildren;21.2668
73;InsertParentWithChildren;21.3904
73;GetParentsWithChildren;1.9840
73;UpdateParentWithChildren;18.3994
73;DeleteParentWithChildren;20.9065
74;InsertParentWithChildren;21.4374
74;GetParentsWithChildren;1.7480
74;UpdateParentWithChildren;18.9672
74;DeleteParentWithChildren;20.9493
75;InsertParentWithChildren;20.6161
75;GetParentsWithChildren;1.6477
75;UpdateParentWithChildren;18.8247
75;DeleteParentWithChildren;10.9843
76;InsertParentWithChildren;21.2927
76;GetParentsWithChildren;1.7642
