Run;MethodName;Duration(ms);MemoryUsed(bytes)
88;UpdateParentWithChildren;6,1628;24584
88;DeleteParentWithChildren;2,7276;16448
89;InsertParentWithChildren;4,8070;24648
89;GetParentsWithChildren;0,6478;16448
89;UpdateParentWithChildren;4,9914;24584
89;DeleteParentWithChildren;4,5271;16448
90;InsertParentWithChildren;6,5722;24648
90;GetParentsWithChildren;0,8114;16448
90;UpdateParentWithChildren;5,8040;24584
90;DeleteParentWithChildren;3,0629;16448
91;InsertParentWithChildren;6,7248;24648
91;GetParentsWithChildren;0,6759;16448
91;UpdateParentWithChildren;6,3064;24584
91;DeleteParentWithChildren;4,9712;16448
92;InsertParentWithChildren;4,8710;24648
92;GetParentsWithChildren;1,1681;16448
92;UpdateParentWithChildren;6,7528;24584
92;DeleteParentWithChildren;2,5968;16448
93;InsertParentWithChildren;4,6355;24648
93;GetParentsWithChildren;0,8410;16448
93;UpdateParentWithChildren;5,7132;24584
93;DeleteParentWithChildren;2,6962;16448
94;InsertParentWithChildren;6,6980;24648
94;GetParentsWithChildren;0,7703;16448
94;UpdateParentWithChildren;5,6036;24536
94;DeleteParentWithChildren;4,3507;16448
95;InsertParentWithChildren;5,1153;24600
95;GetParentsWithChildren;0,6623;16448
95;UpdateParentWithChildren;5,1537;24536
95;DeleteParentWithChildren;3,8402;16448
96;InsertParentWithChildren;6,6426;24600
96;GetParentsWithChildren;0,7186;16448
96;UpdateParentWithChildren;7,3402;24536
96;DeleteParentWithChildren;2,5996;16448
97;InsertParentWithChildren;6,7965;24600
97;GetParentsWithChildren;0,6744;16448
97;UpdateParentWithChildren;5,5005;24536
97;DeleteParentWithChildren;3,9791;16448
98;InsertParentWithChildren;6,5767;24600
98;GetParentsWithChildren;0,8397;16448
98;UpdateParentWithChildren;5,3205;24536
98;DeleteParentWithChildren;2,4460;16448
99;InsertParentWithChildren;6,5176;24600
99;GetParentsWithChildren;0,6574;16448
99;UpdateParentWithChildren;5,0844;24536
99;DeleteParentWithChildren;3,9175;16448
100;InsertParentWithChildren;4,8611;24600
100;GetParentsWithChildren;0,6226;16448
100;UpdateParentWithChildren;3,6003;24536
100;DeleteParentWithChildren;4,0194;16448
101;InsertParentWithChildren;6,3014;24600
101;GetParentsWithChildren;1,0602;16448
101;UpdateParentWithChildren;6,5496;24536
101;DeleteParentWithChildren;5,6921;16448
102;InsertParentWithChildren;6,0587;24600
102;GetParentsWithChildren;0,7638;16448
102;UpdateParentWithChildren;6,8098;24536
102;DeleteParentWithChildren;2,6474;16448
103;InsertParentWithChildren;7,0522;24600
103;GetParentsWithChildren;0,5788;16448
103;UpdateParentWithChildren;5,3059;24536
103;DeleteParentWithChildren;4,1307;16448
104;InsertParentWithChildren;6,5742;24600
104;GetParentsWithChildren;0,7270;16448
104;UpdateParentWithChildren;5,6051;24536
104;DeleteParentWithChildren;3,0402;16448
105;InsertParentWithChildren;7,9800;24600
105;GetParentsWithChildren;0,6461;8224
105;UpdateParentWithChildren;5,3544;24536
105;DeleteParentWithChildren;4,2978;16448
106;InsertParentWithChildren;4,7746;24600
106;GetParentsWithChildren;0,5230;16448
106;UpdateParentWithChildren;4,6484;24536
106;DeleteParentWithChildren;2,9548;16448
107;InsertParentWithChildren;3,1405;24600
107;GetParentsWithChildren;0,5771;16448
107;UpdateParentWithChildren;4,6033;24536
107;DeleteParentWithChildren;5,4448;16448
108;InsertParentWithChildren;2,7920;24600
108;GetParentsWithChildren;0,6912;16448
108;UpdateParentWithChildren;4,7181;24536
108;DeleteParentWithChildren;3,0688;16448
109;InsertParentWithChildren;5,5000;24600
109;GetParentsWithChildren;0,6740;16448
109;UpdateParentWithChildren;6,3524;24536
109;DeleteParentWithChildren;5,5632;16448
110;InsertParentWithChildren;4,8858;24600
110;GetParentsWithChildren;0,8332;16448
110;UpdateParentWithChildren;4,9101;24536
110;DeleteParentWithChildren;5,0300;16448
111;InsertParentWithChildren;5,3710;24600
111;GetParentsWithChildren;0,8065;16448
111;UpdateParentWithChildren;6,5599;24536
111;DeleteParentWithChildren;2,5586;16448
112;InsertParentWithChildren;6,3291;24600
112;GetParentsWithChildren;0,5230;16448
112;UpdateParentWithChildren;4,6568;24536
112;DeleteParentWithChildren;2,5308;16448
113;InsertParentWithChildren;4,6702;24600
113;GetParentsWithChildren;0,5441;16448
113;UpdateParentWithChildren;4,8776;16448
113;DeleteParentWithChildren;3,6950;16448
114;InsertParentWithChildren;4,8109;24600
114;GetParentsWithChildren;0,4991;16448
114;UpdateParentWithChildren;4,3863;24536
114;DeleteParentWithChildren;5,0398;16448
115;InsertParentWithChildren;4,5588;24600
115;GetParentsWithChildren;0,4842;16448
115;UpdateParentWithChildren;6,1890;24536
115;DeleteParentWithChildren;2,5211;16448
116;InsertParentWithChildren;6,4461;24600
116;GetParentsWithChildren;0,5772;16448
116;UpdateParentWithChildren;4,6451;24536
116;DeleteParentWithChildren;3,8987;16448
117;InsertParentWithChildren;6,2106;24600
117;GetParentsWithChildren;0,5717;16448
117;UpdateParentWithChildren;4,6217;24536
117;DeleteParentWithChildren;3,3065;16448
118;InsertParentWithChildren;4,7299;24600
118;GetParentsWithChildren;0,5909;16448
118;UpdateParentWithChildren;5,1371;24536
118;DeleteParentWithChildren;6,4144;16448
119;InsertParentWithChildren;5,4431;24600
119;GetParentsWithChildren;0,5184;16448
119;UpdateParentWithChildren;4,6943;24536
119;DeleteParentWithChildren;3,7204;16448
120;InsertParentWithChildren;2,8271;24600
120;GetParentsWithChildren;0,5845;16448
120;UpdateParentWithChildren;6,4792;24536
120;DeleteParentWithChildren;2,5302;16448
121;InsertParentWithChildren;6,6529;24600
121;GetParentsWithChildren;0,5883;16448
121;UpdateParentWithChildren;4,8177;24536
121;DeleteParentWithChildren;4,2755;16448
122;InsertParentWithChildren;5,9381;24600
122;GetParentsWithChildren;0,6813;16448
122;UpdateParentWithChildren;4,3711;24536
122;DeleteParentWithChildren;3,6494;16448
123;InsertParentWithChildren;4,3341;24600
123;GetParentsWithChildren;0,8802;16448
123;UpdateParentWithChildren;5,8310;28584
123;DeleteParentWithChildren;5,8346;16448
124;InsertParentWithChildren;4,8462;24600
124;GetParentsWithChildren;0,5466;16448
124;UpdateParentWithChildren;4,4489;24536
124;DeleteParentWithChildren;4,5063;16448
125;InsertParentWithChildren;4,7324;24600
125;GetParentsWithChildren;0,7361;16448
125;UpdateParentWithChildren;4,9637;24536
125;DeleteParentWithChildren;2,7848;16448
126;InsertParentWithChildren;4,2877;24600
126;GetParentsWithChildren;6,5176;16448
126;UpdateParentWithChildren;5,9105;24536
126;DeleteParentWithChildren;5,4647;16448
127;InsertParentWithChildren;4,8245;24600
127;GetParentsWithChildren;0,5748;16448
127;UpdateParentWithChildren;7,6301;24536
127;DeleteParentWithChildren;3,9174;16448
128;InsertParentWithChildren;4,1880;24600
128;GetParentsWithChildren;0,9101;16448
128;UpdateParentWithChildren;5,9713;24536
128;DeleteParentWithChildren;3,8831;16448
129;InsertParentWithChildren;4,5279;24600
129;GetParentsWithChildren;0,9981;16448
129;UpdateParentWithChildren;5,4933;24536
129;DeleteParentWithChildren;6,0991;16448
130;InsertParentWithChildren;4,9430;24600
130;GetParentsWithChildren;0,5238;16448
130;UpdateParentWithChildren;4,3270;24536
130;DeleteParentWithChildren;3,7075;16448
131;InsertParentWithChildren;3,1224;24600
131;GetParentsWithChildren;0,5342;16448
131;UpdateParentWithChildren;6,6464;24536
131;DeleteParentWithChildren;2,4997;16448
132;InsertParentWithChildren;7,7965;24600
132;GetParentsWithChildren;0,6423;16448
132;UpdateParentWithChildren;4,7223;24536
132;DeleteParentWithChildren;3,1782;16448
133;InsertParentWithChildren;6,0058;24600
133;GetParentsWithChildren;0,6279;16448
133;UpdateParentWithChildren;5,1571;24536
133;DeleteParentWithChildren;2,5703;16448
134;InsertParentWithChildren;4,6123;24600
134;GetParentsWithChildren;0,5984;16448
134;UpdateParentWithChildren;4,2113;16448
134;DeleteParentWithChildren;5,7526;16448
135;InsertParentWithChildren;4,7872;24600
135;GetParentsWithChildren;0,4785;16448
135;UpdateParentWithChildren;4,4386;24536
135;DeleteParentWithChildren;4,2402;16448
136;InsertParentWithChildren;4,7425;24600
136;GetParentsWithChildren;0,5320;16448
136;UpdateParentWithChildren;6,4803;24536
136;DeleteParentWithChildren;2,8929;16448
137;InsertParentWithChildren;6,5859;24600
137;GetParentsWithChildren;0,5277;16448
137;UpdateParentWithChildren;4,4124;24536
137;DeleteParentWithChildren;3,9158;16448
138;InsertParentWithChildren;5,8971;24600
138;GetParentsWithChildren;0,6971;16448
138;UpdateParentWithChildren;4,8172;24536
138;DeleteParentWithChildren;3,5460;16448
139;InsertParentWithChildren;4,6483;24600
139;GetParentsWithChildren;0,6186;16448
139;UpdateParentWithChildren;5,2212;24536
139;DeleteParentWithChildren;5,9242;16448
140;InsertParentWithChildren;5,2293;24600
140;GetParentsWithChildren;0,5185;16448
140;UpdateParentWithChildren;4,6481;24536
140;DeleteParentWithChildren;3,8911;16448
141;InsertParentWithChildren;3,9945;24600
141;GetParentsWithChildren;0,7872;16448
141;UpdateParentWithChildren;6,5608;24536
141;DeleteParentWithChildren;5,8002;16448
142;InsertParentWithChildren;5,2025;24600
142;GetParentsWithChildren;0,7190;16448
142;UpdateParentWithChildren;6,6791;16448
142;DeleteParentWithChildren;5,7487;16448
143;InsertParentWithChildren;5,3213;24600
143;GetParentsWithChildren;0,5859;16448
143;UpdateParentWithChildren;7,0276;16448
143;DeleteParentWithChildren;3,8164;16448
144;InsertParentWithChildren;4,9134;24600
144;GetParentsWithChildren;0,6613;16448
144;UpdateParentWithChildren;4,5198;24536
144;DeleteParentWithChildren;5,3381;16448
145;InsertParentWithChildren;5,1531;24600
145;GetParentsWithChildren;0,7121;16448
145;UpdateParentWithChildren;6,0460;24536
145;DeleteParentWithChildren;3,8988;16448
146;InsertParentWithChildren;4,9315;24600
146;GetParentsWithChildren;0,5412;16448
146;UpdateParentWithChildren;4,4444;24536
146;DeleteParentWithChildren;4,7209;16448
147;InsertParentWithChildren;4,8310;24600
147;GetParentsWithChildren;0,7955;16448
147;UpdateParentWithChildren;7,3177;24536
147;DeleteParentWithChildren;6,0901;16448
148;InsertParentWithChildren;5,0902;24600
148;GetParentsWithChildren;0,6521;16448
148;UpdateParentWithChildren;5,1853;24536
148;DeleteParentWithChildren;3,1981;16448
149;InsertParentWithChildren;4,6444;24600
149;GetParentsWithChildren;0,6845;16448
149;UpdateParentWithChildren;5,9390;24536
149;DeleteParentWithChildren;3,9431;16448
150;InsertParentWithChildren;5,2968;24600
150;GetParentsWithChildren;0,7832;16448
150;UpdateParentWithChildren;5,3745;24536
150;DeleteParentWithChildren;4,1506;16448
151;InsertParentWithChildren;4,7684;24600
151;GetParentsWithChildren;0,6054;16448
151;UpdateParentWithChildren;4,5073;24536
151;DeleteParentWithChildren;2,4999;16448
152;InsertParentWithChildren;6,7053;24600
152;GetParentsWithChildren;0,5889;16448
152;UpdateParentWithChildren;4,5562;24536
152;DeleteParentWithChildren;4,0183;16448
153;InsertParentWithChildren;5,3613;24600
153;GetParentsWithChildren;0,6089;16448
153;UpdateParentWithChildren;4,6236;24536
153;DeleteParentWithChildren;3,5039;16448
154;InsertParentWithChildren;3,7684;24600
154;GetParentsWithChildren;0,5546;16448
154;UpdateParentWithChildren;5,5933;24536
154;DeleteParentWithChildren;4,9345;16448
155;InsertParentWithChildren;4,7545;24600
155;GetParentsWithChildren;0,5794;16448
155;UpdateParentWithChildren;4,4804;24536
155;DeleteParentWithChildren;2,4107;16448
156;InsertParentWithChildren;7,5027;24600
156;GetParentsWithChildren;0,6661;16448
156;UpdateParentWithChildren;4,4792;24536
156;DeleteParentWithChildren;3,1933;16448
157;InsertParentWithChildren;4,5384;24600
157;GetParentsWithChildren;0,5777;16448
157;UpdateParentWithChildren;5,4009;24536
157;DeleteParentWithChildren;3,6741;16448
158;InsertParentWithChildren;4,5189;24600
158;GetParentsWithChildren;0,5559;16448
158;UpdateParentWithChildren;5,1202;24536
158;DeleteParentWithChildren;4,4620;16448
159;InsertParentWithChildren;5,5383;24600
159;GetParentsWithChildren;0,5299;16448
159;UpdateParentWithChildren;4,0500;24536
159;DeleteParentWithChildren;2,4117;16448
160;InsertParentWithChildren;3,2959;24600
160;GetParentsWithChildren;0,6347;16448
160;UpdateParentWithChildren;4,7518;24536
160;DeleteParentWithChildren;3,6437;16448
161;InsertParentWithChildren;4,4941;24600
161;GetParentsWithChildren;0,6089;16448
161;UpdateParentWithChildren;5,1406;24536
161;DeleteParentWithChildren;4,4170;16448
162;InsertParentWithChildren;4,2564;24600
162;GetParentsWithChildren;0,5654;16448
162;UpdateParentWithChildren;4,5144;24536
