Run;MethodName;Duration(ms);MemoryUsed(bytes)
82;GetParentsWithChildren;1,3076;24632
82;UpdateParentWithChildren;6,1199;53176
82;DeleteParentWithChildren;5,9601;57288
83;InsertParentWithChildren;5,0615;49224
83;GetParentsWithChildren;0,8597;24632
83;UpdateParentWithChildren;5,5039;49280
83;DeleteParentWithChildren;4,0788;57288
84;InsertParentWithChildren;4,9629;49224
84;GetParentsWithChildren;1,0906;24632
84;UpdateParentWithChildren;4,7468;49280
84;DeleteParentWithChildren;5,4007;57288
85;InsertParentWithChildren;5,6593;49224
85;GetParentsWithChildren;0,8166;24632
85;UpdateParentWithChildren;4,8751;49280
85;DeleteParentWithChildren;4,9344;57288
86;InsertParentWithChildren;4,6953;49224
86;GetParentsWithChildren;0,9659;24632
86;UpdateParentWithChildren;4,6904;49280
86;DeleteParentWithChildren;3,7520;57288
87;InsertParentWithChildren;4,9580;49224
87;GetParentsWithChildren;1,0213;24632
87;UpdateParentWithChildren;4,5098;53176
87;DeleteParentWithChildren;5,1828;57288
88;InsertParentWithChildren;5,9852;49224
88;GetParentsWithChildren;1,2552;24632
88;UpdateParentWithChildren;4,8574;53176
88;DeleteParentWithChildren;3,7169;57288
89;InsertParentWithChildren;5,4902;49224
89;GetParentsWithChildren;0,9099;24632
89;UpdateParentWithChildren;4,8361;53176
89;DeleteParentWithChildren;4,9557;57288
90;InsertParentWithChildren;6,0082;49224
90;GetParentsWithChildren;0,8592;24632
90;UpdateParentWithChildren;5,6855;53176
90;DeleteParentWithChildren;5,2307;57288
91;InsertParentWithChildren;6,0887;49224
91;GetParentsWithChildren;1,4094;24632
91;UpdateParentWithChildren;5,1271;53176
91;DeleteParentWithChildren;6,1164;57288
92;InsertParentWithChildren;5,6374;49224
92;GetParentsWithChildren;1,1124;24632
92;UpdateParentWithChildren;5,0876;53176
92;DeleteParentWithChildren;6,1262;57288
93;InsertParentWithChildren;6,4858;49224
93;GetParentsWithChildren;1,0470;24632
93;UpdateParentWithChildren;5,2403;53176
93;DeleteParentWithChildren;3,6707;57288
94;InsertParentWithChildren;5,3321;49224
94;GetParentsWithChildren;1,0660;24632
94;UpdateParentWithChildren;5,4154;53176
94;DeleteParentWithChildren;5,7627;57288
95;InsertParentWithChildren;5,5648;49224
95;GetParentsWithChildren;0,9427;24632
95;UpdateParentWithChildren;5,1524;53176
95;DeleteParentWithChildren;3,8175;57288
96;InsertParentWithChildren;5,1334;49224
96;GetParentsWithChildren;1,0840;24632
96;UpdateParentWithChildren;4,9687;53176
96;DeleteParentWithChildren;5,6653;57288
97;InsertParentWithChildren;5,5927;49224
97;GetParentsWithChildren;1,0747;24632
97;UpdateParentWithChildren;5,5201;53176
97;DeleteParentWithChildren;3,9308;57288
98;InsertParentWithChildren;5,5078;49224
98;GetParentsWithChildren;0,9138;24632
98;UpdateParentWithChildren;5,5891;49280
98;DeleteParentWithChildren;6,3584;57288
99;InsertParentWithChildren;5,0854;67840
99;GetParentsWithChildren;1,0641;24632
99;UpdateParentWithChildren;5,3501;49280
99;DeleteParentWithChildren;4,8340;57288
100;InsertParentWithChildren;5,9328;49224
100;GetParentsWithChildren;0,8844;24632
100;UpdateParentWithChildren;4,2448;49280
100;DeleteParentWithChildren;5,3444;57288
101;InsertParentWithChildren;5,1063;49224
101;GetParentsWithChildren;0,7899;24632
101;UpdateParentWithChildren;5,1167;49280
101;DeleteParentWithChildren;3,7072;57288
102;InsertParentWithChildren;5,4431;49224
102;GetParentsWithChildren;0,9320;24632
102;UpdateParentWithChildren;4,4767;49280
102;DeleteParentWithChildren;3,3482;57288
103;InsertParentWithChildren;5,4977;49224
103;GetParentsWithChildren;0,8838;24632
103;UpdateParentWithChildren;5,2497;49280
103;DeleteParentWithChildren;5,0486;57288
104;InsertParentWithChildren;5,1675;49224
104;GetParentsWithChildren;1,2546;24632
104;UpdateParentWithChildren;4,8963;53176
104;DeleteParentWithChildren;3,9505;57288
105;InsertParentWithChildren;5,5126;49224
105;GetParentsWithChildren;1,0141;24632
105;UpdateParentWithChildren;5,3824;53176
105;DeleteParentWithChildren;5,6772;57288
106;InsertParentWithChildren;7,3329;49224
106;GetParentsWithChildren;1,4194;24632
106;UpdateParentWithChildren;4,8429;53176
106;DeleteParentWithChildren;3,6906;57288
107;InsertParentWithChildren;4,9485;49224
107;GetParentsWithChildren;1,2472;24632
107;UpdateParentWithChildren;5,0869;53176
107;DeleteParentWithChildren;5,5394;57288
108;InsertParentWithChildren;4,6386;49224
108;GetParentsWithChildren;1,4059;24632
108;UpdateParentWithChildren;5,0633;53176
108;DeleteParentWithChildren;3,6376;57288
109;InsertParentWithChildren;5,4385;49224
109;GetParentsWithChildren;1,0627;24632
109;UpdateParentWithChildren;4,7554;53176
109;DeleteParentWithChildren;5,1267;57288
110;InsertParentWithChildren;5,9930;49224
110;GetParentsWithChildren;1,6411;24632
110;UpdateParentWithChildren;5,6183;53176
110;DeleteParentWithChildren;6,4169;57288
111;InsertParentWithChildren;6,9785;49224
111;GetParentsWithChildren;1,4697;24632
111;UpdateParentWithChildren;7,5344;53176
111;DeleteParentWithChildren;9,5235;57288
112;InsertParentWithChildren;5,4652;49224
112;GetParentsWithChildren;1,5419;24632
112;UpdateParentWithChildren;5,4050;53176
